NEAR START OBJECTS															
Start:	bookcase			cactus			well			sink				Mean (Near)
Target:	cactus	moon	clock	book	flaming	clock	sink	earth	gear	well	clock	gear				
	Probe	Neighb	Strang	Probe	Neighb	Strang	Probe	Neighb	Strang	Probe	Neighb	Strang		Probe	Neighb	Strang
S																
1	14.963	5.559	269.421	93.839	51.129	22.977	13.793	312.012	346.744	20.323	46.198	16.934		33.259	15.972	349.088
3	40.518	21.599	281.326	68.787	12.826	2.901	31.537	5.512	7.038	63.484	19.316	21.909		51.097	14.818	352.065
4	28.645	348.922	204.645	49.129	11.398	321.023	38.221	344.458	332.748	32.489	352.707	11.642		37.108	354.323	323.142
6	3.336	28.929	290.22	54.5	49.983	273.538	48.812	359.899	312.594	304.914	38.359	23.789		15.984	29.500	311.379
7	37.673	41.816	272.073	73.391	46.79	339.435	115.005	69.083	25.338	55.542	12.564	285.797		69.705	42.673	318.739
9	15.741	10.64	338.886	56.928	43.075	350.946	4.219	9.805	1.946	354.252	354.291	3.546		17.187	14.255	353.855
11	35.254	26.079	312.159	76.567	30.076	355.31	34.238	300.247	34.197	24.813	6.689	15.516		42.295	3.394	0.108
13	35.291	20.425	311.361	62.766	56.869	320.968	91.772	328.281	357.267	42.915	12.183	347.937		57.887	14.746	334.385
16	8.526	24.893	290.125	17.635	321.665	325.366	358.636	34.407	319.098	358.787	12.855	21.613		5.885	9.563	327.837
17	46.664	359.945	238.408	56.399	20.061	342.031	113.122	25.727	95.399	69.583	21.213	17.057		70.712	16.786	5.695
18	36.634	33.977	299.246	58.763	40.054	267.54	82.57	15.187	10.889	66.485	344.45	6.155		61.174	18.754	326.955
																
C Mean	27.629	18.511	284.159	60.977	30.743	332.388	50.683	0.376	1.32	30.79	12.72	6.912		42.144	15.845	338.460
AD	13.808	14.958	34.999	18.124	25.808	33.843	41.312	36.136	37.226	36.098	17.804	25.756		21.456	11.966	17.585
95% CI														±14.68	±8.19	±12.04
99% CI														±19.29	±10.76	±15.82
																
																
FAR START OBJECTS															
Start:	earth			gear			clock			flamingo				Mean (Far)
Target:	cactus	moon	clock	book	flaming	clock	sink	earth	gear	well	clock	gear				
	Probe	Neighb	Strang	Probe	Neighb	Strang	Probe	Neighb	Strang	Probe	Neighb	Strang		Probe	Neighb	Strang
S																
40	29.596	20.564	24.081	79.989	36.694	14.955	20.453	325.158	353.572	10.67	25.107	355.909		34.194	13.031	7.111
41	358.452	352.311	327.194	58.735	71.018	47.614	355.591	349.635	18.035	341.235	8.205	8.769		7.066	13.25	10.8
42	22.576	48.657	22.286	27.146	15.487	348.891	22.882	354.244	349.382	16.779	21.738	353.234		22.347	19.949	358.296
43	53.488	20.061	312.903	44.983	49.333	32.893	41.775	28.286	283.826	354.154	357.566	305.515		34.291	23.83	319.847
44	46.79	17.556	356.847	42.904	15.384	297.975	8.523	19.239	359.07	323.126	309.823	321.786		16.633	2.1	334.195
45	14.043	356.872	351.412	355.6	357.965	343.414	0.596	2.674	2.641	357.226	9.91	2.886		1.848	1.851	355.098
46	15.79	7.545	345.457	74.829	71.305	349.396	48.59	26.347	14.998	18.256	346.024	348.042		39.058	21.949	354.376
47	65.221	14.025	352.793	84.428	115.027	37.775	134.436	109.869	338.767	24.708	38.4	306.078		76.574	69.915	348.314
48	347.396	8.677	327.695	90.853	87.253	349.702	18.939	319.011	278.153	14.41	33.681	3.134		25.233	21.782	330.964
49	155.372	8.116	357.729	39.217	59.292	317.837	14.616	79.929	326.834	336.031	14.753	313.975		27.127	40.289	328.851
50	331.119	65.752	356.819	76.983	108.578	342.578	85.804	13.629	32.298	14.664	26.703	333.481		39.124	52.434	355.863
																
C Mean	25.551	17.693	350.506	56.728	57	356.677	30.973	13.547	347.11	1.262	11.077	339.53		29.072	25.107	347.67
AD	44.239	20.501	20.919	27.827	37.363	32.59	38.358	42.89	35.108	19.339	23.903	23.13		18.857	19.978	15.965
95% CI														±12.91	±13.67	±10.93
99% CI														±16.96	±17.97	±14.36
